cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.5,-0.8,13.3,7.3,5.8,25.5,2.1,1.9,-0.1,-0.3,NotYet
0.2,1.5,13.5,7.3,5.8,25.5,2.1,1.9,-0.1,-0.3,NotYet
1.5,-0.8,13.3,7.3,5.8,25.5,2.1,1.9,-0.2,-0.6,NotYet
0.2,1.5,13.5,7.3,5.8,25.5,2.1,1.9,-0.2,-0.6,NotYet
1.5,-0.8,13.3,7.3,5.8,25.5,2.1,1.9,-0.3,-0.9,NotYet
0.2,1.5,13.5,7.3,5.8,25.5,2.1,1.9,-0.3,-0.9,NotYet
1.5,-0.8,13.3,7.3,5.8,25.5,2.1,1.9,-0.4,-1.2,NotYet
0.2,1.5,13.5,7.3,5.8,25.5,2.1,1.9,-0.4,-1.2,NotYet
1.5,-0.8,13.3,7.3,5.8,25.5,2.1,1.9,-0.5,-1.5,NotYet
0.2,1.5,13.5,7.3,5.8,25.5,2.1,1.9,-0.5,-1.5,NotYet
1.5,-0.8,13.3,7.3,5.8,25.5,2.1,1.9,-0.6,-1.8,NotYet
0.2,1.5,13.5,7.3,5.8,25.5,2.1,1.9,-0.6,-1.8,NotYet
