theta,A2,a,b,z,status
30.0,-10.0,8.2,6.1,-1.0,NotYet
30.0,-10.0,8.3,6.1,-0.8,NotYet
30.0,-10.0,8.3,6.1,-0.6,NotYet
30.0,-10.0,8.3,6.0,-0.4,NotYet
30.0,-10.0,8.4,5.9,-0.2,NotYet
30.0,-10.0,8.4,5.8,0.0,NotYet
30.0,-10.0,8.4,5.7,0.2,NotYet
30.0,-10.0,8.3,5.8,0.4,NotYet
30.0,-10.0,8.2,6.0,0.6,NotYet
30.0,-10.0,8.1,6.1,0.8,NotYet
30.0,-10.0,8.1,6.1,1.0,NotYet
30.0,-8.0,8.1,6.1,-1.0,NotYet
30.0,-8.0,8.2,6.1,-0.8,NotYet
30.0,-8.0,8.2,6.0,-0.6,NotYet
30.0,-8.0,8.3,5.9,-0.4,NotYet
30.0,-8.0,8.3,5.8,-0.2,NotYet
30.0,-8.0,8.3,5.7,0.0,NotYet
30.0,-8.0,8.3,5.8,0.2,NotYet
30.0,-8.0,8.2,5.9,0.4,NotYet
30.0,-8.0,8.0,6.1,0.6,NotYet
30.0,-8.0,8.0,6.1,0.8,NotYet
30.0,-8.0,8.0,6.2,1.0,NotYet
30.0,-6.0,8.1,6.1,-1.0,NotYet
30.0,-6.0,8.1,6.1,-0.8,NotYet
30.0,-6.0,8.1,6.0,-0.6,NotYet
30.0,-6.0,8.2,5.9,-0.4,NotYet
30.0,-6.0,8.2,5.8,-0.2,NotYet
30.0,-6.0,8.3,5.7,0.0,NotYet
30.0,-6.0,8.2,5.8,0.2,NotYet
30.0,-6.0,8.0,6.0,0.4,NotYet
30.0,-6.0,8.0,6.1,0.6,NotYet
30.0,-6.0,7.9,6.2,0.8,NotYet
30.0,-6.0,7.9,6.2,1.0,NotYet
30.0,-4.0,8.1,6.0,-1.0,NotYet
30.0,-4.0,8.1,6.0,-0.8,NotYet
30.0,-4.0,8.1,5.9,-0.6,NotYet
30.0,-4.0,8.2,5.8,-0.4,NotYet
30.0,-4.0,8.2,5.7,-0.2,NotYet
30.0,-4.0,8.2,5.8,0.0,NotYet
30.0,-4.0,8.1,5.9,0.2,NotYet
30.0,-4.0,8.0,6.1,0.4,NotYet
30.0,-4.0,7.9,6.2,0.6,NotYet
30.0,-4.0,7.9,6.2,0.8,NotYet
30.0,-4.0,7.9,6.2,1.0,NotYet
30.0,-2.0,8.1,6.0,-1.0,NotYet
30.0,-2.0,8.1,6.0,-0.8,NotYet
30.0,-2.0,8.1,5.9,-0.6,NotYet
30.0,-2.0,8.2,5.8,-0.4,NotYet
30.0,-2.0,8.2,5.7,-0.2,NotYet
30.0,-2.0,8.2,5.8,0.0,NotYet
30.0,-2.0,8.0,6.0,0.2,NotYet
30.0,-2.0,7.9,6.2,0.4,NotYet
30.0,-2.0,7.9,6.2,0.6,NotYet
30.0,-2.0,7.9,6.3,0.8,NotYet
30.0,-2.0,7.9,6.2,1.0,NotYet
30.0,0.0,8.1,6.0,-1.0,NotYet
30.0,0.0,8.2,5.9,-0.8,NotYet
30.0,0.0,8.2,5.8,-0.6,NotYet
30.0,0.0,8.3,5.7,-0.4,NotYet
30.0,0.0,8.2,5.8,-0.2,NotYet
30.0,0.0,8.1,5.9,0.0,NotYet
30.0,0.0,8.0,6.1,0.2,NotYet
30.0,0.0,7.9,6.2,0.4,NotYet
30.0,0.0,7.9,6.3,0.6,NotYet
30.0,0.0,7.9,6.3,0.8,NotYet
30.0,0.0,8.0,6.2,1.0,NotYet
30.0,2.0,8.2,5.9,-1.0,NotYet
30.0,2.0,8.3,5.8,-0.8,NotYet
30.0,2.0,8.3,5.8,-0.6,NotYet
30.0,2.0,8.3,5.7,-0.4,NotYet
30.0,2.0,8.3,5.8,-0.2,NotYet
30.0,2.0,8.1,6.0,0.0,NotYet
30.0,2.0,8.0,6.2,0.2,NotYet
30.0,2.0,7.9,6.3,0.4,NotYet
30.0,2.0,8.0,6.3,0.6,NotYet
30.0,2.0,8.0,6.3,0.8,NotYet
30.0,2.0,8.0,6.2,1.0,NotYet
30.0,4.0,8.3,5.9,-1.0,NotYet
30.0,4.0,8.4,5.8,-0.8,NotYet
30.0,4.0,8.4,5.7,-0.6,NotYet
30.0,4.0,8.4,5.7,-0.4,NotYet
30.0,4.0,8.3,5.9,-0.2,NotYet
30.0,4.0,8.2,6.0,0.0,NotYet
30.0,4.0,8.1,6.2,0.2,NotYet
30.0,4.0,8.0,6.3,0.4,NotYet
30.0,4.0,8.0,6.3,0.6,NotYet
30.0,4.0,8.1,6.3,0.8,NotYet
30.0,4.0,8.1,6.2,1.0,NotYet
30.0,6.0,8.5,5.8,-1.0,NotYet
30.0,6.0,8.6,5.7,-0.8,NotYet
30.0,6.0,8.6,5.7,-0.6,NotYet
30.0,6.0,8.5,5.7,-0.4,NotYet
30.0,6.0,8.4,5.9,-0.2,NotYet
30.0,6.0,8.2,6.2,0.0,NotYet
30.0,6.0,8.1,6.3,0.2,NotYet
30.0,6.0,8.1,6.3,0.4,NotYet
30.0,6.0,8.1,6.4,0.6,NotYet
30.0,6.0,8.2,6.3,0.8,NotYet
30.0,6.0,8.3,6.2,1.0,NotYet
30.0,8.0,8.7,5.7,-1.0,NotYet
30.0,8.0,8.7,5.7,-0.8,NotYet
30.0,8.0,8.7,5.7,-0.6,NotYet
30.0,8.0,8.6,5.8,-0.4,NotYet
30.0,8.0,8.5,6.0,-0.2,NotYet
30.0,8.0,8.3,6.2,0.0,NotYet
30.0,8.0,8.2,6.3,0.2,NotYet
30.0,8.0,8.2,6.4,0.4,NotYet
30.0,8.0,8.3,6.3,0.6,NotYet
30.0,8.0,8.3,6.3,0.8,NotYet
30.0,8.0,8.4,6.2,1.0,NotYet
30.0,10.0,8.9,5.7,-1.0,NotYet
30.0,10.0,8.9,5.6,-0.8,NotYet
30.0,10.0,8.9,5.7,-0.6,NotYet
30.0,10.0,8.7,5.9,-0.4,NotYet
30.0,10.0,8.5,6.1,-0.2,NotYet
30.0,10.0,8.4,6.3,0.0,NotYet
30.0,10.0,8.3,6.4,0.2,NotYet
30.0,10.0,8.3,6.4,0.4,NotYet
30.0,10.0,8.4,6.3,0.6,NotYet
30.0,10.0,8.5,6.2,0.8,NotYet
30.0,10.0,8.6,6.2,1.0,NotYet
60.0,-10.0,5.8,8.5,-1.0,NotYet
60.0,-10.0,5.8,8.5,-0.8,NotYet
60.0,-10.0,5.8,8.5,-0.6,NotYet
60.0,-10.0,5.7,8.5,-0.4,NotYet
60.0,-10.0,5.7,8.5,-0.2,NotYet
60.0,-10.0,5.7,8.5,0.0,NotYet
60.0,-10.0,5.7,8.5,0.2,NotYet
60.0,-10.0,5.7,8.5,0.4,NotYet
60.0,-10.0,5.7,8.4,0.6,NotYet
60.0,-10.0,5.7,8.4,0.8,NotYet
60.0,-10.0,5.7,8.4,1.0,NotYet
60.0,-8.0,5.7,8.4,-1.0,NotYet
60.0,-8.0,5.7,8.4,-0.8,NotYet
60.0,-8.0,5.7,8.4,-0.6,NotYet
60.0,-8.0,5.7,8.4,-0.4,NotYet
60.0,-8.0,5.7,8.4,-0.2,NotYet
60.0,-8.0,5.7,8.4,0.0,NotYet
60.0,-8.0,5.7,8.4,0.2,NotYet
60.0,-8.0,5.7,8.4,0.4,NotYet
60.0,-8.0,5.7,8.4,0.6,NotYet
60.0,-8.0,5.7,8.4,0.8,NotYet
60.0,-8.0,5.7,8.4,1.0,NotYet
60.0,-6.0,5.7,8.3,-1.0,NotYet
60.0,-6.0,5.7,8.3,-0.8,NotYet
60.0,-6.0,5.7,8.3,-0.6,NotYet
60.0,-6.0,5.7,8.3,-0.4,NotYet
60.0,-6.0,5.7,8.3,-0.2,NotYet
60.0,-6.0,5.7,8.3,0.0,NotYet
60.0,-6.0,5.7,8.3,0.2,NotYet
60.0,-6.0,5.7,8.3,0.4,NotYet
60.0,-6.0,5.7,8.3,0.6,NotYet
60.0,-6.0,5.7,8.3,0.8,NotYet
60.0,-6.0,5.7,8.3,1.0,NotYet
60.0,-4.0,5.7,8.3,-1.0,NotYet
60.0,-4.0,5.7,8.3,-0.8,NotYet
60.0,-4.0,5.7,8.3,-0.6,NotYet
60.0,-4.0,5.7,8.3,-0.4,NotYet
60.0,-4.0,5.7,8.3,-0.2,NotYet
60.0,-4.0,5.7,8.2,0.0,NotYet
60.0,-4.0,5.7,8.2,0.2,NotYet
60.0,-4.0,5.7,8.2,0.4,NotYet
60.0,-4.0,5.7,8.2,0.6,NotYet
60.0,-4.0,5.8,8.2,0.8,NotYet
60.0,-4.0,5.8,8.2,1.0,NotYet
60.0,-2.0,5.8,8.2,-1.0,NotYet
60.0,-2.0,5.8,8.2,-0.8,NotYet
60.0,-2.0,5.8,8.2,-0.6,NotYet
60.0,-2.0,5.8,8.2,-0.4,NotYet
60.0,-2.0,5.8,8.2,-0.2,NotYet
60.0,-2.0,5.8,8.2,0.0,NotYet
60.0,-2.0,5.8,8.2,0.2,NotYet
60.0,-2.0,5.8,8.2,0.4,NotYet
60.0,-2.0,5.8,8.2,0.6,NotYet
60.0,-2.0,5.8,8.2,0.8,NotYet
60.0,-2.0,5.8,8.2,1.0,NotYet
60.0,0.0,5.8,8.2,-1.0,NotYet
60.0,0.0,5.8,8.2,-0.8,NotYet
60.0,0.0,5.8,8.2,-0.6,NotYet
60.0,0.0,5.8,8.2,-0.4,NotYet
60.0,0.0,5.8,8.2,-0.2,NotYet
60.0,0.0,5.8,8.2,0.0,NotYet
60.0,0.0,5.9,8.1,0.2,NotYet
60.0,0.0,5.9,8.1,0.4,NotYet
60.0,0.0,5.9,8.1,0.6,NotYet
60.0,0.0,5.9,8.1,0.8,NotYet
60.0,0.0,5.9,8.1,1.0,NotYet
60.0,2.0,5.9,8.2,-1.0,NotYet
60.0,2.0,5.9,8.2,-0.8,NotYet
60.0,2.0,5.9,8.2,-0.6,NotYet
60.0,2.0,5.9,8.2,-0.4,NotYet
60.0,2.0,5.9,8.2,-0.2,NotYet
60.0,2.0,5.9,8.2,0.0,NotYet
60.0,2.0,5.9,8.2,0.2,NotYet
60.0,2.0,5.9,8.2,0.4,NotYet
60.0,2.0,6.0,8.2,0.6,NotYet
