theta,phi,r,z,status
0,0,3.8,1.3,InProgress
0,5,3.8,1.3,InProgress
0,10,3.7,1.3,InProgress
0,15,4.0,1.3,InProgress
0,20,4.3,1.3,InProgress
0,25,4.6,1.3,InProgress
0,30,4.8,1.3,InProgress
0,35,5.0,1.3,InProgress
0,40,5.1,1.3,InProgress
0,45,5.1,1.3,InProgress
0,50,5.2,1.3,InProgress
0,55,5.2,1.3,InProgress
0,60,5.1,1.3,InProgress
0,65,5.0,1.3,InProgress
0,70,4.9,1.3,InProgress
0,75,4.7,1.3,InProgress
0,80,4.5,1.3,InProgress
0,85,4.5,1.3,InProgress
0,90,4.6,1.3,InProgress
5,0,4.0,1.3,InProgress
5,5,4.0,1.3,InProgress
5,10,3.9,1.3,InProgress
5,15,4.0,1.3,InProgress
5,20,4.3,1.3,InProgress
5,25,4.6,1.3,InProgress
5,30,4.8,1.3,InProgress
5,35,4.9,1.3,InProgress
5,40,5.1,1.3,InProgress
5,45,5.1,1.3,InProgress
5,50,5.2,1.3,InProgress
5,55,5.2,1.3,InProgress
5,60,5.1,1.3,InProgress
5,65,5.0,1.3,InProgress
5,70,4.8,1.3,InProgress
5,75,4.6,1.3,InProgress
5,80,4.6,1.3,InProgress
5,85,4.7,1.3,InProgress
5,90,4.7,1.3,InProgress
10,0,4.1,1.3,InProgress
10,5,4.1,1.3,InProgress
10,10,4.1,1.3,InProgress
10,15,4.0,1.3,InProgress
10,20,4.3,1.3,InProgress
10,25,4.5,1.3,InProgress
10,30,4.8,1.3,InProgress
10,35,4.9,1.3,InProgress
10,40,5.0,1.3,InProgress
10,45,5.1,1.3,InProgress
10,50,5.1,1.3,InProgress
10,55,5.1,1.3,InProgress
10,60,5.1,1.3,InProgress
10,65,5.0,1.3,InProgress
10,70,4.8,1.3,InProgress
10,75,4.7,1.3,InProgress
10,80,4.8,1.3,InProgress
10,85,4.8,1.3,InProgress
10,90,4.8,1.3,InProgress
15,0,4.3,1.3,InProgress
15,5,4.3,1.3,InProgress
15,10,4.2,1.3,InProgress
15,15,4.1,1.3,InProgress
15,20,4.3,1.3,InProgress
15,25,4.5,1.3,InProgress
15,30,4.7,1.3,InProgress
15,35,4.9,1.3,InProgress
15,40,5.0,1.3,InProgress
15,45,5.1,1.3,InProgress
15,50,5.1,1.3,InProgress
15,55,5.1,1.3,InProgress
15,60,5.0,1.3,InProgress
15,65,4.9,1.3,InProgress
15,70,4.8,1.3,InProgress
15,75,4.8,1.3,InProgress
15,80,4.9,1.3,InProgress
15,85,4.9,1.3,InProgress
15,90,4.9,1.3,InProgress
20,0,4.4,1.3,InProgress
20,5,4.4,1.3,InProgress
20,10,4.4,1.3,InProgress
20,15,4.3,1.3,InProgress
20,20,4.2,1.3,InProgress
20,25,4.5,1.3,InProgress
20,30,4.7,1.3,InProgress
20,35,4.8,1.3,InProgress
20,40,4.9,1.3,InProgress
20,45,5.0,1.3,InProgress
20,50,5.0,1.3,InProgress
20,55,5.0,1.3,InProgress
20,60,4.9,1.3,InProgress
20,65,4.9,1.3,InProgress
20,70,4.7,1.3,InProgress
20,75,4.8,1.3,InProgress
20,80,4.9,1.3,InProgress
20,85,5.0,1.3,InProgress
20,90,5.0,1.3,InProgress
25,0,4.5,1.3,InProgress
25,5,4.5,1.3,InProgress
25,10,4.5,1.3,InProgress
25,15,4.4,1.3,InProgress
25,20,4.2,1.3,InProgress
25,25,4.4,1.3,InProgress
25,30,4.6,1.3,InProgress
25,35,4.7,1.3,InProgress
25,40,4.8,1.3,InProgress
25,45,4.9,1.3,InProgress
25,50,4.9,1.3,InProgress
25,55,4.9,1.3,InProgress
25,60,4.9,1.3,InProgress
25,65,4.8,1.3,InProgress
25,70,4.8,1.3,InProgress
25,75,4.9,1.3,InProgress
25,80,5.0,1.3,InProgress
25,85,5.1,1.3,InProgress
25,90,5.1,1.3,InProgress
30,0,4.6,1.3,InProgress
30,5,4.6,1.3,InProgress
30,10,4.6,1.3,InProgress
30,15,4.4,1.3,InProgress
30,20,4.3,1.3,InProgress
30,25,4.3,1.3,InProgress
30,30,4.5,1.3,InProgress
30,35,4.6,1.3,InProgress
30,40,4.7,1.3,InProgress
30,45,4.8,1.3,InProgress
30,50,4.8,1.3,InProgress
30,55,4.8,1.3,InProgress
30,60,4.7,1.3,InProgress
30,65,4.7,1.3,InProgress
30,70,4.8,1.3,InProgress
30,75,4.9,1.3,InProgress
30,80,5.1,1.3,InProgress
30,85,5.1,1.3,InProgress
30,90,5.1,1.3,InProgress
35,0,4.7,1.3,InProgress
35,5,4.7,1.3,InProgress
35,10,4.6,1.3,InProgress
35,15,4.5,1.3,InProgress
35,20,4.3,1.3,InProgress
35,25,4.2,1.3,InProgress
35,30,4.4,1.3,InProgress
35,35,4.5,1.3,InProgress
35,40,4.6,1.3,InProgress
35,45,4.7,1.3,InProgress
35,50,4.7,1.3,InProgress
35,55,4.7,1.3,InProgress
35,60,4.6,1.3,InProgress
35,65,4.6,1.3,InProgress
35,70,4.8,1.3,InProgress
35,75,5.0,1.3,InProgress
35,80,5.1,1.3,InProgress
35,85,5.2,1.3,InProgress
35,90,5.2,1.3,InProgress
40,0,4.8,1.3,InProgress
40,5,4.8,1.3,InProgress
40,10,4.7,1.3,InProgress
40,15,4.6,1.3,InProgress
40,20,4.4,1.3,InProgress
40,25,4.2,1.3,InProgress
40,30,4.3,1.3,InProgress
40,35,4.4,1.3,InProgress
40,40,4.5,1.3,InProgress
40,45,4.5,1.3,InProgress
40,50,4.5,1.3,InProgress
40,55,4.5,1.3,InProgress
40,60,4.5,1.3,InProgress
40,65,4.6,1.3,InProgress
40,70,4.8,1.3,InProgress
40,75,5.0,1.3,InProgress
40,80,5.1,1.3,InProgress
40,85,5.2,1.3,InProgress
40,90,5.2,1.3,InProgress
45,0,4.8,1.3,InProgress
45,5,4.8,1.3,InProgress
45,10,4.7,1.3,InProgress
45,15,4.6,1.3,InProgress
45,20,4.4,1.3,InProgress
45,25,4.2,1.3,InProgress
45,30,4.1,1.3,InProgress
45,35,4.2,1.3,InProgress
45,40,4.3,1.3,InProgress
45,45,4.4,1.3,InProgress
45,50,4.4,1.3,InProgress
45,55,4.4,1.3,InProgress
45,60,4.4,1.3,InProgress
45,65,4.6,1.3,InProgress
45,70,4.8,1.3,InProgress
45,75,5.0,1.3,InProgress
45,80,5.1,1.3,InProgress
45,85,5.1,1.3,InProgress
45,90,5.2,1.3,InProgress
50,0,4.8,1.3,InProgress
50,5,4.8,1.3,InProgress
50,10,4.7,1.3,InProgress
50,15,4.6,1.3,InProgress
50,20,4.4,1.3,InProgress
50,25,4.2,1.3,InProgress
50,30,4.1,1.3,InProgress
50,35,4.2,1.3,InProgress
50,40,4.2,1.3,InProgress
50,45,4.2,1.3,InProgress
50,50,4.2,1.3,InProgress
50,55,4.2,1.3,InProgress
50,60,4.3,1.3,InProgress
50,65,4.6,1.3,InProgress
50,70,4.8,1.3,InProgress
50,75,4.9,1.3,InProgress
50,80,5.0,1.3,InProgress
50,85,5.1,1.3,InProgress
50,90,5.1,1.3,InProgress
55,0,4.8,1.3,InProgress
55,5,4.8,1.3,InProgress
55,10,4.7,1.3,InProgress
55,15,4.6,1.3,InProgress
55,20,4.4,1.3,InProgress
55,25,4.3,1.3,InProgress
